"site","period","spp","dens","norm"
"3",11,"folred",1.5,-0.553338570795037
"3",12,"brown",17,0.503812535204282
"3",12,"calred",18.5,0.612315658429016
"3",12,"encrust",49,-0.550538472345931
"3",12,"folred",2.5,-0.454372526966914
"3",13,"brown",8,-0.200934031635725
"3",13,"calred",8,-0.715871279351493
"3",13,"encrust",63,0.397500677608224
"3",13,"folred",1,-0.602821592709099
"3",14,"brown",0,-0.827375424382398
"3",14,"calred",4,-1.22184725564883
"3",14,"encrust",76.5,1.31168128649259
"3",14,"folred",0,-0.701787636537223
"3",15,"brown",5,-0.435849553915727
"3",15,"calred",8.5,-0.652624282314326
"3",15,"encrust",56.5,-0.0426603562990623
"3",15,"folred",0,-0.701787636537223
"3",16,"brown",0,-0.827375424382398
"3",16,"calred",14,0.0430926850945121
"3",16,"encrust",66,0.600651924026971
"3",16,"folred",0,-0.701787636537223
"3",17,"brown",2,-0.67076507619573
"3",17,"calred",6,-0.968859267500161
"3",17,"encrust",74.5,1.17624712221342
"3",17,"folred",0.5,-0.652304614623161
"3",18,"brown",0.5,-0.788222837335731
"3",18,"calred",4,-1.22184725564883
"3",18,"encrust",80,1.54869107398113
"3",18,"folred",0,-0.701787636537223
"3",19,"brown",0,-0.827375424382398
"3",19,"calred",6.5,-0.905612270462994
"3",19,"encrust",82,1.68412523826029
"3",19,"folred",0,-0.701787636537223
"3",20,"brown",NA,NA
"3",20,"calred",NA,NA
"3",20,"encrust",NA,NA
"3",20,"folred",NA,NA
"3",21,"brown",0,-0.827375424382398
"3",21,"calred",6,-0.968859267500161
"3",21,"encrust",71.5,0.973095875794675
"3",21,"folred",0.5,-0.652304614623161
"3",22,"brown",0,-0.827375424382398
"3",22,"calred",9.4445,-0.533150704911117
"3",22,"encrust",70,0.871520252585301
"3",22,"folred",0.5556,-0.646802102586318
"3",23,"brown",0,-0.827375424382398
"3",23,"calred",7,-0.842365273425827
"3",23,"encrust",75,1.21010566328321
"3",23,"folred",0.5,-0.652304614623161
"3",24,"brown",0,-0.827375424382398
"3",24,"calred",9.5,-0.526130288239992
"3",24,"encrust",75.5,1.243964204353
"3",24,"folred",0.5,-0.652304614623161
"3",25,"brown",0.5,-0.788222837335731
"3",25,"calred",7,-0.842365273425827
"3",25,"encrust",75,1.21010566328321
"3",25,"folred",4.5,-0.256440439310666
"3",26,"brown",NA,NA
"3",26,"calred",NA,NA
"3",26,"encrust",NA,NA
"3",26,"folred",NA,NA
"3",27,"brown",3.5,-0.553307315055728
"3",27,"calred",15,0.169586679168846
"3",27,"encrust",66,0.600651924026971
"3",27,"folred",2.5,-0.454372526966914
"3",28,"brown",11,0.0339814906442771
"3",28,"calred",11,-0.33638929712849
"3",28,"encrust",67,0.668369006166554
"3",28,"folred",3.5,-0.35540648313879
"3",29,"brown",2,-0.67076507619573
"3",29,"calred",16.5,0.359327670280348
"3",29,"encrust",72.5,1.04081295793426
"3",29,"folred",0,-0.701787636537223
"3",30,"brown",29.5,1.48262721137096
"3",30,"calred",11.5,-0.273142300091323
"3",30,"encrust",51,-0.415104308066766
"3",30,"folred",3,-0.404889505052852
"3",31,"brown",36,1.99161084297763
"3",31,"calred",14,0.0430926850945121
"3",31,"encrust",78.5,1.44711545077175
"3",31,"folred",0,-0.701787636537223
"3",32,"brown",31,1.60008497251096
"3",32,"calred",17,0.422574667317515
"3",32,"encrust",54,-0.211953061648018
"3",32,"folred",5.5,-0.157474395482542
"3",33,"brown",18.5,0.621270296344283
"3",33,"calred",16,0.29608067324318
"3",33,"encrust",43,-0.956840965183426
"3",33,"folred",2.5,-0.454372526966914
"3",34,"brown",20,0.738728057484284
"3",34,"calred",20.5,0.865303646577684
"3",34,"encrust",61,0.262066513329059
"3",34,"folred",3,-0.404889505052852
"3",35,"brown",21.5,0.856185818624285
"3",35,"calred",20,0.802056649540517
"3",35,"encrust",56,-0.0765188973688535
"3",35,"folred",1.5,-0.553338570795037
"3",36,"brown",30,1.52177979841762
"3",36,"calred",22,1.05504463768919
"3",36,"encrust",53.5,-0.24581160271781
"3",36,"folred",4,-0.305923461224728
"3",37,"brown",18,0.582117709297616
"3",37,"calred",24.5,1.37127962287502
"3",37,"encrust",52.5,-0.313528684857392
"3",37,"folred",1.5,-0.553338570795037
"3",38,"brown",5.5,-0.39669696686906
"3",38,"calred",19.5,0.73880965250335
"3",38,"encrust",70.5,0.905378793655092
"3",38,"folred",0,-0.701787636537223
"3",39,"brown",4.5,-0.475002140962394
"3",39,"calred",12,-0.209895303054156
"3",39,"encrust",76,1.2778227454228
"3",39,"folred",0.5,-0.652304614623161
"3",40,"brown",NA,NA
"3",40,"calred",NA,NA
"3",40,"encrust",NA,NA
"3",40,"folred",NA,NA
"3",41,"brown",0,-0.827375424382398
"3",41,"calred",5.5,-1.03210626453733
"3",41,"encrust",79.5,1.51483253291133
"3",41,"folred",0.5,-0.652304614623161
"3",42,"brown",26.5,1.24771168909096
"3",42,"calred",4,-1.22184725564883
"3",42,"encrust",71,0.939237334724884
"3",42,"folred",3.5,-0.35540648313879
"3",43,"brown",8,-0.200934031635725
"3",43,"calred",6,-0.968859267500161
"3",43,"encrust",73,1.07467149900405
"3",43,"folred",0,-0.701787636537223
"3",44,"brown",1,-0.749070250289064
"3",44,"calred",3.5,-1.285094252686
"3",44,"encrust",67.5,0.702227547236345
"3",44,"folred",0.5,-0.652304614623161
"3",45,"brown",0.5,-0.788222837335731
"3",45,"calred",6.5,-0.905612270462994
"3",45,"encrust",56,-0.0765188973688535
"3",45,"folred",2.5,-0.454372526966914
"3",46,"brown",68,4.49737641396432
"3",46,"calred",17,0.422574667317515
"3",46,"encrust",38.5,-1.26156783481155
"3",46,"folred",4.5,-0.256440439310666
"3",47,"brown",12,0.112286664737611
"3",47,"calred",4,-1.22184725564883
"3",47,"encrust",53.5,-0.24581160271781
